category,key,count,parts
服飾/內睡衣,色,2181,n
服飾/內睡衣,共,2179,n
服飾/內睡衣,涼夏,683,n
服飾/內睡衣,上市,683,n
服飾/內睡衣,上衣,676,n
服飾/內睡衣,牛仔,592,n
服飾/內睡衣,尺碼,438,n
服飾/內睡衣,力,438,n
服飾/內睡衣,棉,384,n
服飾/內睡衣,版,375,n
服飾/內睡衣,背心,371,n
服飾/內睡衣,襯衫,361,n
服飾/內睡衣,東京,350,n
服飾/內睡衣,著衣,350,n
服飾/內睡衣,基本,346,n
服飾/內睡衣,長,371,adj
服飾/內睡衣,寬,343,adj
服飾/內睡衣,純,316,adj
服飾/內睡衣,短,276,adj
服飾/內睡衣,瘦,170,adj
服飾/內睡衣,小,153,adj
服飾/內睡衣,大,135,adj
服飾/內睡衣,甜美,122,adj
服飾/內睡衣,輕,105,adj
服飾/內睡衣,淺,94,adj
美妝/藥妝/髮品,面膜,5235,n
美妝/藥妝/髮品,理膚,3022,n
美妝/藥妝/髮品,寶水,3022,n
美妝/藥妝/髮品,尿酸,2694,n
美妝/藥妝/髮品,玻,2694,n
美妝/藥妝/髮品,杏仁,2674,n
美妝/藥妝/髮品,蘋果,2629,n
美妝/藥妝/髮品,酸,2592,n
美妝/藥妝/髮品,太,2592,n
美妝/藥妝/髮品,膠原,2592,n
美妝/藥妝/髮品,酚,2592,n
美妝/藥妝/髮品,水絲布,2592,n
美妝/藥妝/髮品,記,2592,n
美妝/藥妝/髮品,淨痘,2310,n
美妝/藥妝/髮品,美,2034,n
美妝/藥妝/髮品,小,5899,adj
美妝/藥妝/髮品,精華,1985,adj
美妝/藥妝/髮品,極效,1264,adj
美妝/藥妝/髮品,緊,652,adj
美妝/藥妝/髮品,精,612,adj
美妝/藥妝/髮品,清爽,545,adj
美妝/藥妝/髮品,奢華,525,adj
美妝/藥妝/髮品,黑,443,adj
美妝/藥妝/髮品,老,422,adj
美妝/藥妝/髮品,愛康,385,adj
圖書/文具/影音,支,484,n
圖書/文具/影音,筆,277,n
圖書/文具/影音,紙,162,n
圖書/文具/影音,原子,160,n
圖書/文具/影音,單色,127,n
圖書/文具/影音,蠟,127,n
圖書/文具/影音,油,127,n
圖書/文具/影音,百代,127,n
圖書/文具/影音,利,127,n
圖書/文具/影音,螢光,119,n
圖書/文具/影音,百樂,118,n
圖書/文具/影音,日本,117,n
圖書/文具/影音,張,110,n
圖書/文具/影音,飛龍,110,n
圖書/文具/影音,永昌,106,n
圖書/文具/影音,足,88,adj
圖書/文具/影音,小,61,adj
圖書/文具/影音,奇異,31,adj
圖書/文具/影音,黑,23,adj
圖書/文具/影音,黏,20,adj
圖書/文具/影音,厚,7,adj
圖書/文具/影音,最強,1,adj
圖書/文具/影音,新,1,adj
餐券/娛樂/旅遊,主題,117,n
餐券/娛樂/旅遊,世界,112,n
餐券/娛樂/旅遊,山,112,n
餐券/娛樂/旅遊,劍湖,112,n
餐券/娛樂/旅遊,樂園,110,n
餐券/娛樂/旅遊,水陸,110,n
餐券/娛樂/旅遊,人票,90,n
餐券/娛樂/旅遊,單人票,20,n
餐券/娛樂/旅遊,平,16,n
餐券/娛樂/旅遊,電子,16,n
餐券/娛樂/旅遊,商城,16,n
餐券/娛樂/旅遊,奇摩,11,n
餐券/娛樂/旅遊,券,11,n
餐券/娛樂/旅遊,房,11,n
餐券/娛樂/旅遊,旅,11,n
餐券/娛樂/旅遊,精,3,adj
餐券/娛樂/旅遊,暢,1,adj
餐券/娛樂/旅遊,豪華,1,adj
餐券/娛樂/旅遊,快,1,adj
運動/戶外/交通,世界,672,n
運動/戶外/交通,現貨,626,n
運動/戶外/交通,庫,571,n
運動/戶外/交通,帽子,549,n
運動/戶外/交通,老帽,476,n
運動/戶外/交通,抗,444,n
運動/戶外/交通,背包,227,n
運動/戶外/交通,男,224,n
運動/戶外/交通,女鞋,206,n
運動/戶外/交通,腰包,200,n
運動/戶外/交通,美容,187,n
運動/戶外/交通,愛迪達,171,n
運動/戶外/交通,鞋,156,n
運動/戶外/交通,口罩,155,n
運動/戶外/交通,透氣,131,n
運動/戶外/交通,黑,879,adj
運動/戶外/交通,白,722,adj
運動/戶外/交通,舒適,202,adj
運動/戶外/交通,透氣,138,adj
運動/戶外/交通,寬,134,adj
運動/戶外/交通,短,125,adj
運動/戶外/交通,古,91,adj
運動/戶外/交通,純,34,adj
運動/戶外/交通,小,31,adj
運動/戶外/交通,深,29,adj
居家/寢具/家具,衣架,1076,n
居家/寢具/家具,拖鞋,1055,n
居家/寢具/家具,居家,382,n
居家/寢具/家具,主義,360,n
居家/寢具/家具,浴室,315,n
居家/寢具/家具,台,308,n
居家/寢具/家具,海灘,246,n
居家/寢具/家具,全身,238,n
居家/寢具/家具,插座,230,n
居家/寢具/家具,日式,217,n
居家/寢具/家具,手提,214,n
居家/寢具/家具,情侶,210,n
居家/寢具/家具,厚底,210,n
居家/寢具/家具,超輕量,210,n
居家/寢具/家具,棉,205,n
居家/寢具/家具,完美,360,adj
居家/寢具/家具,純,98,adj
